"Date","Transaction Type","Particulars","Cash In","Cash Out (Expense)","Balance","Month","Reference/Remark"
"","","","","","=IF(COUNTA(A173:E173)=0,"""",SUM($D$2:D173)-SUM($E$2:E173))","=IF(A173="""","""",TEXT(A173,""mmmm""))",""
"","","","","","=IF(COUNTA(A174:E174)=0,"""",SUM($D$2:D174)-SUM($E$2:E174))","=IF(A174="""","""",TEXT(A174,""mmmm""))",""
"","","","","","=IF(COUNTA(A175:E175)=0,"""",SUM($D$2:D175)-SUM($E$2:E175))","=IF(A175="""","""",TEXT(A175,""mmmm""))",""
"","","","","","=IF(COUNTA(A176:E176)=0,"""",SUM($D$2:D176)-SUM($E$2:E176))","=IF(A176="""","""",TEXT(A176,""mmmm""))",""
"","","","","","=IF(COUNTA(A177:E177)=0,"""",SUM($D$2:D177)-SUM($E$2:E177))","=IF(A177="""","""",TEXT(A177,""mmmm""))",""
"","","","","","=IF(COUNTA(A178:E178)=0,"""",SUM($D$2:D178)-SUM($E$2:E178))","=IF(A178="""","""",TEXT(A178,""mmmm""))",""
"","","","","","=IF(COUNTA(A179:E179)=0,"""",SUM($D$2:D179)-SUM($E$2:E179))","=IF(A179="""","""",TEXT(A179,""mmmm""))",""
"","","","","","=IF(COUNTA(A180:E180)=0,"""",SUM($D$2:D180)-SUM($E$2:E180))","=IF(A180="""","""",TEXT(A180,""mmmm""))",""
"","","","","","=IF(COUNTA(A181:E181)=0,"""",SUM($D$2:D181)-SUM($E$2:E181))","=IF(A181="""","""",TEXT(A181,""mmmm""))",""
"","","","","","=IF(COUNTA(A182:E182)=0,"""",SUM($D$2:D182)-SUM($E$2:E182))","=IF(A182="""","""",TEXT(A182,""mmmm""))",""
"","","","","","=IF(COUNTA(A183:E183)=0,"""",SUM($D$2:D183)-SUM($E$2:E183))","=IF(A183="""","""",TEXT(A183,""mmmm""))",""
"","","","","","=IF(COUNTA(A184:E184)=0,"""",SUM($D$2:D184)-SUM($E$2:E184))","=IF(A184="""","""",TEXT(A184,""mmmm""))",""
"","","","","","=IF(COUNTA(A185:E185)=0,"""",SUM($D$2:D185)-SUM($E$2:E185))","=IF(A185="""","""",TEXT(A185,""mmmm""))",""
"","","","","","=IF(COUNTA(A186:E186)=0,"""",SUM($D$2:D186)-SUM($E$2:E186))","=IF(A186="""","""",TEXT(A186,""mmmm""))",""
"","","","","","=IF(COUNTA(A187:E187)=0,"""",SUM($D$2:D187)-SUM($E$2:E187))","=IF(A187="""","""",TEXT(A187,""mmmm""))",""
"","","","","","=IF(COUNTA(A188:E188)=0,"""",SUM($D$2:D188)-SUM($E$2:E188))","=IF(A188="""","""",TEXT(A188,""mmmm""))",""
"","","","","","=IF(COUNTA(A189:E189)=0,"""",SUM($D$2:D189)-SUM($E$2:E189))","=IF(A189="""","""",TEXT(A189,""mmmm""))",""
"","","","","","=IF(COUNTA(A190:E190)=0,"""",SUM($D$2:D190)-SUM($E$2:E190))","=IF(A190="""","""",TEXT(A190,""mmmm""))",""
"","","","","","=IF(COUNTA(A191:E191)=0,"""",SUM($D$2:D191)-SUM($E$2:E191))","=IF(A191="""","""",TEXT(A191,""mmmm""))",""
"","","","","","=IF(COUNTA(A192:E192)=0,"""",SUM($D$2:D192)-SUM($E$2:E192))","=IF(A192="""","""",TEXT(A192,""mmmm""))",""
"","","","","","=IF(COUNTA(A193:E193)=0,"""",SUM($D$2:D193)-SUM($E$2:E193))","=IF(A193="""","""",TEXT(A193,""mmmm""))",""
"","","","","","=IF(COUNTA(A194:E194)=0,"""",SUM($D$2:D194)-SUM($E$2:E194))","=IF(A194="""","""",TEXT(A194,""mmmm""))",""
"","","","","","=IF(COUNTA(A195:E195)=0,"""",SUM($D$2:D195)-SUM($E$2:E195))","=IF(A195="""","""",TEXT(A195,""mmmm""))",""
"","","","","","=IF(COUNTA(A196:E196)=0,"""",SUM($D$2:D196)-SUM($E$2:E196))","=IF(A196="""","""",TEXT(A196,""mmmm""))",""
"","","","","","=IF(COUNTA(A197:E197)=0,"""",SUM($D$2:D197)-SUM($E$2:E197))","=IF(A197="""","""",TEXT(A197,""mmmm""))",""
"","","","","","=IF(COUNTA(A198:E198)=0,"""",SUM($D$2:D198)-SUM($E$2:E198))","=IF(A198="""","""",TEXT(A198,""mmmm""))",""
"","","","","","=IF(COUNTA(A199:E199)=0,"""",SUM($D$2:D199)-SUM($E$2:E199))","=IF(A199="""","""",TEXT(A199,""mmmm""))",""
"","","","","","=IF(COUNTA(A200:E200)=0,"""",SUM($D$2:D200)-SUM($E$2:E200))","=IF(A200="""","""",TEXT(A200,""mmmm""))",""
"","","","","","=IF(COUNTA(A201:E201)=0,"""",SUM($D$2:D201)-SUM($E$2:E201))","=IF(A201="""","""",TEXT(A201,""mmmm""))",""
"","","","","","","",""
"खर्च दर्ज करना: Transaction Type में Expense लिखें, Particulars में खर्च का विवरण और Cash Out में रकम डालें।","","","","","","",""
